season,round,constructor_id,standing_position,points,wins
2014,19,mercedes,1,701.0,16
2014,19,red_bull,2,405.0,3
2014,19,williams,3,320.0,0
2014,19,ferrari,4,216.0,0
2014,19,mclaren,5,181.0,0
2014,19,force_india,6,155.0,0
2014,19,toro_rosso,7,30.0,0
2014,19,lotus_f1,8,10.0,0
2014,19,marussia,9,2.0,0
2014,19,sauber,10,0.0,0
2014,19,caterham,11,0.0,0
2015,19,mercedes,1,703.0,16
2015,19,ferrari,2,428.0,3
2015,19,williams,3,257.0,0
2015,19,red_bull,4,187.0,0
2015,19,force_india,5,136.0,0
2015,19,lotus_f1,6,78.0,0
2015,19,toro_rosso,7,67.0,0
2015,19,sauber,8,36.0,0
2015,19,mclaren,9,27.0,0
2015,19,manor,10,0.0,0
2016,21,mercedes,1,765.0,19
2016,21,red_bull,2,468.0,2
2016,21,ferrari,3,398.0,0
2016,21,force_india,4,173.0,0
2016,21,williams,5,138.0,0
2016,21,mclaren,6,76.0,0
2016,21,toro_rosso,7,63.0,0
2016,21,haas,8,29.0,0
2016,21,renault,9,8.0,0
2016,21,sauber,10,2.0,0
2016,21,manor,11,1.0,0
2017,20,mercedes,1,668.0,12
2017,20,ferrari,2,522.0,5
2017,20,red_bull,3,368.0,3
2017,20,force_india,4,187.0,0
2017,20,williams,5,83.0,0
2017,20,renault,6,57.0,0
2017,20,toro_rosso,7,53.0,0
2017,20,haas,8,47.0,0
2017,20,mclaren,9,30.0,0
2017,20,sauber,10,5.0,0
2018,21,mercedes,1,655.0,11
2018,21,ferrari,2,571.0,6
2018,21,red_bull,3,419.0,4
2018,21,renault,4,122.0,0
2018,21,force_india,5,111.0,0
2018,21,haas,6,93.0,0
2018,21,mclaren,7,62.0,0
2018,21,sauber,8,48.0,0
2018,21,toro_rosso,9,33.0,0
2018,21,williams,10,7.0,0
2019,21,mercedes,1,739.0,15
2019,21,ferrari,2,504.0,3
2019,21,red_bull,3,417.0,3
2019,21,mclaren,4,145.0,0
2019,21,renault,5,91.0,0
2019,21,toro_rosso,6,85.0,0
2019,21,racing_point,7,73.0,0
2019,21,alfa,8,57.0,0
2019,21,haas,9,28.0,0
2019,21,williams,10,1.0,0
2020,17,mercedes,1,573.0,13
2020,17,red_bull,2,319.0,2
2020,17,mclaren,3,202.0,0
2020,17,racing_point,4,195.0,1
2020,17,renault,5,181.0,0
2020,17,ferrari,6,131.0,0
2020,17,alphatauri,7,107.0,1
2020,17,alfa,8,8.0,0
2020,17,haas,9,3.0,0
2020,17,williams,10,0.0,0
2021,22,mercedes,1,613.5,9
2021,22,red_bull,2,585.5,11
2021,22,ferrari,3,323.5,0
2021,22,mclaren,4,275.0,1
2021,22,alpine,5,155.0,1
2021,22,alphatauri,6,142.0,0
2021,22,aston_martin,7,77.0,0
2021,22,williams,8,23.0,0
2021,22,alfa,9,13.0,0
2021,22,haas,10,0.0,0
2022,22,red_bull,1,759.0,17
2022,22,ferrari,2,554.0,4
2022,22,mercedes,3,515.0,1
2022,22,alpine,4,173.0,0
2022,22,mclaren,5,159.0,0
2022,22,alfa,6,55.0,0
2022,22,aston_martin,7,55.0,0
2022,22,haas,8,37.0,0
2022,22,alphatauri,9,35.0,0
2022,22,williams,10,8.0,0
2023,22,red_bull,1,860.0,21
2023,22,mercedes,2,409.0,0
2023,22,ferrari,3,406.0,1
2023,22,mclaren,4,302.0,0
2023,22,aston_martin,5,280.0,0
2023,22,alpine,6,120.0,0
2023,22,williams,7,28.0,0
2023,22,alphatauri,8,25.0,0
2023,22,alfa,9,16.0,0
2023,22,haas,10,12.0,0
2024,24,mclaren,1,666.0,6
2024,24,ferrari,2,652.0,5
2024,24,red_bull,3,589.0,9
2024,24,mercedes,4,468.0,4
2024,24,aston_martin,5,94.0,0
2024,24,alpine,6,65.0,0
2024,24,haas,7,58.0,0
2024,24,rb,8,46.0,0
2024,24,williams,9,17.0,0
2024,24,sauber,10,4.0,0
2025,24,mclaren,1,833.0,14
2025,24,mercedes,2,469.0,2
2025,24,red_bull,3,451.0,8
2025,24,ferrari,4,398.0,0
2025,24,williams,5,137.0,0
2025,24,rb,6,92.0,0
2025,24,aston_martin,7,89.0,0
2025,24,haas,8,79.0,0
2025,24,sauber,9,70.0,0
2025,24,alpine,10,22.0,0
